"user.key";"datetime";"meter.reading";"diff"
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"26/03/2015 13:13:08";89066;16
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"26/03/2015 12:13:08";89050;2
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"26/03/2015 11:13:08";89048;21
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"26/03/2015 10:13:08";89027;273
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"26/03/2015 05:13:10";88754;0
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"26/03/2015 04:13:10";88754;0
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"26/03/2015 03:13:10";88754;0
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"26/03/2015 02:13:10";88754;1
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"26/03/2015 01:13:11";88753;14
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"26/03/2015 00:13:11";88739;18
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"25/03/2015 23:13:11";88721;25
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"25/03/2015 22:13:11";88696;3
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"25/03/2015 21:13:08";88693;15
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"25/03/2015 20:13:08";88678;3
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"25/03/2015 19:13:08";88675;10
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"25/03/2015 18:13:08";88665;575
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"25/03/2015 09:13:11";88090;4
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"25/03/2015 08:13:11";88086;21
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"25/03/2015 07:13:11";88065;7
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"25/03/2015 06:13:11";88058;1
